"ticker","skew","kurt","avg","sdev","sharpe","cor_wti","cor_es1","cor_yld10y","cor_effr","beta_wti","beta_es1","beta_yld10y","beta_effr"
"BLUE",-9.15769342410059e-07,1.03075581546678e-05,-0.00201035197928954,0.0394181115727208,-0.0510007176670736,0.0547281654274607,0.287990836548427,0.149395066147041,-0.0165171475490554,0.0131449443913981,1.2407422392209,0.00157963832430746,-0.000159347466364791
"BMY",2.11651525820542e-05,3.66720095492866e-06,0.000145644460924867,0.0174152667373606,0.00836303360271933,-0.0095578370072569,0.277016583956638,0.0409426945574795,-0.0440818465514102,-0.00887341039321814,4.61308813806705,0.00167074381070129,-0.00164381514527263
"BP",4.88291391475321e-07,1.37684255980055e-07,-0.000734962243642356,0.0126441322474123,-0.0581267444266703,0.537539171549352,0.536053453480132,0.133518200128404,-0.0509541940742178,1.15783611143481,20.710954098795,0.0126830350845343,-0.00440838139566792
"BRK_B",6.97440432662871e-07,8.56681572917336e-08,-0.000576963152437725,0.009530695761855,-0.0605373591660456,0.151647077194398,0.806915063645947,0.336054066451905,-0.0302872299336323,0.0831908155232718,7.94006751913968,0.0081140129715419,-0.000667364564998746
"BSX",-1.71278510427157e-06,4.63379164353424e-07,-0.000620932826580216,0.013492182545317,-0.0460216739948969,0.095366612724662,0.483146884334037,0.0572042177543185,-0.0582322167305778,0.26552506816453,24.1292259260593,0.00699885080853107,-0.00651230519724031
"C",2.20910419513868e-06,4.04669315276879e-07,-0.000894426584519235,0.0143225485130285,-0.0624488430746537,0.217147211125163,0.697803888162591,0.513065259142043,-0.00902685325614501,0.251914971854134,14.5207197411028,0.026321298710644,-0.000420628172291205
"CAT",1.03123506396952e-07,3.52077208469768e-07,-0.00130464655826525,0.0149110275039462,-0.0874954162561891,0.271605524851827,0.647641006868426,0.253399894556474,-0.0801461980331102,0.151405644721259,6.47579125986473,0.00621917996994806,-0.00179452140639233
"CB",1.93423615862527e-07,6.28504307496862e-08,-0.000263045818118621,0.00964922182586558,-0.027260832310177,0.0907942572266248,0.539414139135848,0.184159713369632,-0.0643102952235107,0.0650537625549108,6.93252430872356,0.00581184332072875,-0.00185078850924521
"CBS",6.63938946958386e-07,1.57496137096409e-07,0.000167960412275492,0.0140343712086137,0.0119677903469167,0.0906370565821493,0.36600632410416,0.0932163506530468,0.0775925005582394,0.104190325934476,7.54684147697653,0.00470621163774537,0.00358264356226626
"CCI",6.42200281602255e-07,8.84637130840378e-08,-0.000536445016795989,0.0110619651859178,-0.0484945493662284,0.0888668820982183,0.256227694699046,-0.223224980941558,-0.0957820049340718,0.0777401099339523,4.0205578140441,-0.00859581458749195,-0.00336551384862486
"CCL",2.06685837600553e-06,1.93065662449669e-07,-0.000437633790094245,0.0129244051941892,-0.0338610391363315,-0.0372690723684753,0.477023864501223,0.209852055162345,-0.00427264057382077,-0.048426799031932,11.1181446926412,0.0119749380894986,-0.000222995342132802
"CELG",1.82718590193673e-05,3.89766997260437e-06,0.000504918852750988,0.0189469764494425,0.0266490463055305,0.04738033161319,0.34698078141375,0.127789470417544,0.0534119949132813,0.0213517527499286,2.80395922037076,0.00253681931881587,0.000966705062247324
"CERN",1.80950686458374e-06,4.38609625549916e-07,-2.22447596158503e-05,0.0145991515131952,-0.00152370222308774,0.0877073984459097,0.435518160562481,0.0695262868901738,-0.0728390739090042,0.0924893912874331,8.23790911278261,0.00323455560005982,-0.00308519315034352
"CFG",5.48023570788471e-06,7.67571138355798e-07,-0.00124815364955626,0.0175642384080357,-0.0710622129215254,0.138384920739801,0.591852296180638,0.536473095988369,0.0103204687975032,0.228686362919941,17.543646585343,0.0389876460699752,0.00068503565178605
